"uuid";"sendervat";"sendername";"recipientvat";"recipientname";"documentid";"issuedate";"receiveddate"
"d5647448-2ca8-42fe-9882-4e98a7a93a4d";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"00238/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:30"
"d59948b3-02b1-49d6-9206-64938eb4b47a";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00474/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:58"
"d5eae708-805c-4809-b43c-eb705cd1b4ba";"IT00155400351";"CDD S.P.A.";"IT04238580155";"COM.AL S.R.L.";"00376/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:32"
"d636f19d-824f-46d2-86eb-04358c81aaed";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00115/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:09"
"d712a920-b348-483b-8f5f-bf1e66e337aa";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"00234/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:27"
"d72e39ec-12d5-4140-a499-b306063050df";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00718/V1";"2019-02-09 00:00:00";"2019-02-15 11:47:47"
"d7506f0c-2bef-4c5a-8972-9f4ed1c00d2d";"IT00155400351";"CDD S.P.A.";"IT12683790153";"GS S.P.A.";"00093/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:09"
"d762cd17-9301-44f3-8b4c-117452502843";"IT00155400351";"CDD S.P.A.";"IT01300830922";"I.S.A. SPA IND.SERV.AGROALIMENTARI";"00727/V1";"2019-02-09 00:00:00";"2019-02-15 11:46:40"
"d77e50ab-8aa0-4809-b33c-63053452df52";"IT00155400351";"CDD S.P.A.";"IT05849840151";"RIALTO SPA";"00327/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:21"
"d78cffa3-c99d-4b77-ad36-18ce0204383a";"IT00155400351";"CDD S.P.A.";"IT04117520967";"COOP CONSORZIO NORD OVEST SOC.CONS. A R.L.";"00334/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:15"
"d8088dea-8f86-49f9-add4-ca2548ea3feb";"IT00155400351";"CDD S.P.A.";"IT10748740015";"RISPARMIO CASA NORD OVEST S.R.L.";"00519/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:20"
"d85956e4-f8d5-4fba-b538-e8e6fff3a406";"IT00155400351";"CDD S.P.A.";"IT00542090238";"MAXI DI S.R.L.";"00046/V1";"2019-01-05 00:00:00";"2019-01-08 16:40:06"
"d8d5b06c-0601-4a99-ae1a-239e9b639aa3";"IT00155400351";"CDD S.P.A.";"IT13485101003";"BACA S.R.L.";"00524/V1";"2019-01-31 00:00:00";"2019-02-01 17:54:32"
"d904df71-1786-4840-b3bb-b52e3ec6102f";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00669/V1";"2019-02-09 00:00:00";"2019-02-15 11:48:02"
"d92c4723-e2f7-46a5-a071-ce7c120208f4";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00123/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:03"
"d9dce6cb-6365-41d5-ba84-2f497e7a636d";"IT00155400351";"CDD S.P.A.";"IT01751820356";"CONAD CENTRO NORD SOC.COOP.";"00551/V1";"2019-01-31 00:00:00";"2019-02-04 18:07:13"
"d9e948f9-5442-4bbb-852c-69d3c3e6f4ee";"IT00155400351";"CDD S.P.A.";"IT03349310965";"AUCHAN S.P.A.";"00719/V1";"2019-02-09 00:00:00";"2019-02-15 11:47:55"
"da21940a-c349-43e8-9365-a2264ea65c75";"IT00155400351";"CDD S.P.A.";"IT04916380159";"ESSELUNGA S.P.A.";"00210/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:19"
"da27ac85-4f6a-4262-9b09-2bb4031f73e1";"IT00155400351";"CDD S.P.A.";"ITBLDCHR87A60G224G";"BALDON CHIARA (DIPENDENTE)";"00023/V4";"2019-01-30 00:00:00";"2019-02-01 18:00:30"
"da290fef-1103-4ddc-8932-0b5d1e95753e";"IT00155400351";"CDD S.P.A.";"IT11392351000";"RICA GEST S.R.L.";"00479/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:53"
